hhid,lat_dd_mod,lon_dd_mod,dist_road2,dist_popcenter2,dist_market,dist_border2,dist_admctr,af_bio_1,af_bio_8,af_bio_12,af_bio_13,af_bio_16,popdensity,hybrid_V8,ssa_aez09,afmnslp_pct,srtm_1k,twi,sq1,sq2,sq3,sq4,sq5,sq6,sq7,anntot_avg,wetQ_avg,wetQ_avgstart,h2018_tot,h2018_wetQ,h2018_wetQstart,qstartavg,ndvi_avg,ndvi_max,h2018_ndvi_avg,h2018_ndvi_max
19050,5.620971866,7.556736472,0.3,2.8,3.1,530.5,2.8,262,248,2113,317,894,2500,44,313,4,139,13,3,2,1,1,1,1,1,1733,803,17,2307,1129,13,27,0.37,0.474,0.418,0.48
19051,5.620971866,7.556736472,0.3,2.8,3.1,530.5,2.8,262,248,2113,317,894,2500,44,313,4,139,13,3,2,1,1,1,1,1,1733,803,17,2307,1129,13,27,0.37,0.474,0.418,0.48
19052,5.620971866,7.556736472,0.3,2.8,3.1,530.5,2.8,262,248,2113,317,894,2500,44,313,4,139,13,3,2,1,1,1,1,1,1733,803,17,2307,1129,13,27,0.37,0.474,0.418,0.48
19054,5.620971866,7.556736472,0.3,2.8,3.1,530.5,2.8,262,248,2113,317,894,2500,44,313,4,139,13,3,2,1,1,1,1,1,1733,803,17,2307,1129,13,27,0.37,0.474,0.418,0.48
19055,5.620971866,7.556736472,0.3,2.8,3.1,530.5,2.8,262,248,2113,317,894,2500,44,313,4,139,13,3,2,1,1,1,1,1,1733,803,17,2307,1129,13,27,0.37,0.474,0.418,0.48
19056,5.620971866,7.556736472,0.3,2.8,3.1,530.5,2.8,262,248,2113,317,894,2500,44,313,4,139,13,3,2,1,1,1,1,1,1733,803,17,2307,1129,13,27,0.37,0.474,0.418,0.48
19058,5.620971866,7.556736472,0.3,2.8,3.1,530.5,2.8,262,248,2113,317,894,2500,44,313,4,139,13,3,2,1,1,1,1,1,1733,803,17,2307,1129,13,27,0.37,0.474,0.418,0.48
19060,5.620971866,7.556736472,0.3,2.8,3.1,530.5,2.8,262,248,2113,317,894,2500,44,313,4,139,13,3,2,1,1,1,1,1,1733,803,17,2307,1129,13,27,0.37,0.474,0.418,0.48
19061,5.299244891,7.328496336,10.8,17.9,74.3,543.1,17.9,261,249,2234,343,965,874,44,313,2,98,14,3,2,1,1,1,1,1,1746,792,17,2603,1094,17,25,0.293,0.389,0.307,0.368
19062,5.299244891,7.328496336,10.8,17.9,74.3,543.1,17.9,261,249,2234,343,965,874,44,313,2,98,14,3,2,1,1,1,1,1,1746,792,17,2603,1094,17,25,0.293,0.389,0.307,0.368
19063,5.299244891,7.328496336,10.8,17.9,74.3,543.1,17.9,261,249,2234,343,965,874,44,313,2,98,14,3,2,1,1,1,1,1,1746,792,17,2603,1094,17,25,0.293,0.389,0.307,0.368
19064,5.299244891,7.328496336,10.8,17.9,74.3,543.1,17.9,261,249,2234,343,965,874,44,313,2,98,14,3,2,1,1,1,1,1,1746,792,17,2603,1094,17,25,0.293,0.389,0.307,0.368
19066,5.299244891,7.328496336,10.8,17.9,74.3,543.1,17.9,261,249,2234,343,965,874,44,313,2,98,14,3,2,1,1,1,1,1,1746,792,17,2603,1094,17,25,0.293,0.389,0.307,0.368
19068,5.299244891,7.328496336,10.8,17.9,74.3,543.1,17.9,261,249,2234,343,965,874,44,313,2,98,14,3,2,1,1,1,1,1,1746,792,17,2603,1094,17,25,0.293,0.389,0.307,0.368
19069,5.299244891,7.328496336,10.8,17.9,74.3,543.1,17.9,261,249,2234,343,965,874,44,313,2,98,14,3,2,1,1,1,1,1,1746,792,17,2603,1094,17,25,0.293,0.389,0.307,0.368
19070,5.299244891,7.328496336,10.8,17.9,74.3,543.1,17.9,261,249,2234,343,965,874,44,313,2,98,14,3,2,1,1,1,1,1,1746,792,17,2603,1094,17,25,0.293,0.389,0.307,0.368
19071,5.299244891,7.328496336,10.8,17.9,74.3,543.1,17.9,261,249,2234,343,965,874,44,313,2,98,14,3,2,1,1,1,1,1,1746,792,17,2603,1094,17,25,0.293,0.389,0.307,0.368
19072,5.299244891,7.328496336,10.8,17.9,74.3,543.1,17.9,261,249,2234,343,965,874,44,313,2,98,14,3,2,1,1,1,1,1,1746,792,17,2603,1094,17,25,0.293,0.389,0.307,0.368
19073,5.226639141,7.420833786,0.2,10.9,60,534,10.9,262,249,2275,352,978,767,26,314,1,93,14,3,2,1,1,1,1,1,1795,813,16,2556,1124,16,26,0.25,0.334,0.255,0.304
